CHR,Position,CpG,Mapped Gene,Nearest Gene (10 Mb),Gene Group,Coef,SE,P,Direction
14,53170147,cg21814550,,PSMC6      ,,0.014,0.004,3.89E-04,++++++++-
1,53143055,cg23250085,,COA7       ,,0.004,0.001,3.90E-04,++++++++-
1,156119457,cg00107970,,SEMA4A      ,,0.009,0.003,3.90E-04,+++++++-+
13,45563672,cg26439238,NUFIP1;KIAA1704,GPALPP1     ,TSS200;TSS200,-0.001,0,3.90E-04,-------+-
16,698936,cg01535567,WDR90,WDR90      ,TSS1500,-0.002,0.001,3.90E-04,+----++--
10,34612060,cg09461005,PARD3,PARD3      ,Body,-0.008,0.002,3.90E-04,---------
21,43183466,cg03079733,RIPK4,RIPK4      ,Body,0.005,0.001,3.91E-04,++++-++++
17,37782302,cg05897163,PPP1R1B,PPP1R1B     ,TSS1500,0.006,0.002,3.91E-04,+-+++++++
5,153836180,cg17558547,SAP30L,SAP30L      ,3'UTR;3'UTR;3'UTR;Body,0.003,0.001,3.91E-04,++++++++-
2,146509846,cg00770316,,TEX41      ,,-0.004,0.001,3.92E-04,++-+-+---
11,57532299,cg16127573,CTNND1,CTNND1      ,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,-0.004,0.001,3.92E-04,---------
15,22960745,cg01768385,CYFIP1,CYFIP1      ,Body;Body,-0.002,0.001,3.92E-04,---------
1,142892136,cg24324738,,,,0.009,0.003,3.92E-04,++??++?++
8,87082014,cg04470072,PSKH2,PSKH2      ,TSS200,0.008,0.002,3.93E-04,+++--++++
6,31634602,cg10970124,BAT4;CSNK2B,CSNK2B      ,TSS1500;5'UTR,-0.003,0.001,3.93E-04,---------
1,221101412,cg17969662,,HLX       ,,-0.004,0.001,3.93E-04,++-------
15,40572137,cg10316525,,,,0.007,0.002,3.93E-04,++++++-+-
15,75865604,cg12063992,PTPN9,PTPN9      ,Body,0.012,0.003,3.93E-04,++++++++-
11,1892608,cg24024833,LSP1,LSP1       ,5'UTR;5'UTR;Body;1stExon;5'UTR,-0.006,0.002,3.93E-04,--+------
5,497520,cg16555556,SLC9A3,SLC9A3      ,Body,0.005,0.002,3.93E-04,+++--++++
6,30095140,cg12860635,,TRIM40      ,,0.008,0.002,3.93E-04,++++-++++
12,57588144,cg19559587,LRP1;MIR1228,LRP1       ,Body;TSS200,-0.004,0.001,3.93E-04,---------
19,6481540,cg11813073,DENND1C,DENND1C     ,Body,-0.004,0.001,3.94E-04,---------
14,104928472,cg18383486,,C14orf180    ,,0.008,0.002,3.94E-04,+-+++++++
3,170079338,cg17183770,SKIL,SKIL       ,Body;Body;Body,0.011,0.003,3.94E-04,+?+++++++
6,33175177,cg11011640,RING1;MIR219-1,MIR219A1     ,TSS1500;TSS1500,0.007,0.002,3.94E-04,+++++++++
17,26577563,cg17730048,,PPY2       ,,-0.006,0.002,3.94E-04,+---+----
12,110485937,cg17417591,C12orf76,C12orf76     ,Body,-0.003,0.001,3.95E-04,----+----
14,105953462,cg04411625,CRIP1,CRIP1      ,5'UTR,-0.001,0,3.95E-04,-----+--+
11,68815449,cg22484980,TPCN2,TPCN2      ,TSS1500,0.004,0.001,3.95E-04,++++++++-
19,44766778,cg13600314,ZNF233,ZNF233      ,5'UTR,-0.003,0.001,3.95E-04,-----+--+
7,1993597,cg15804231,MAD1L1,MAD1L1      ,Body;Body;Body,-0.002,0.001,3.96E-04,--+------
3,152092595,cg08535978,MBNL1,MBNL1      ,Body;Body;Body;Body;Body;Body;Body,0.007,0.002,3.96E-04,++++++-++
14,39573006,cg15491047,SEC23A,SEC23A      ,TSS1500,-0.004,0.001,3.96E-04,--??-+--+
2,74942369,cg06037631,,SEMA4F      ,,-0.001,0,3.96E-04,--------+
15,68958534,cg02793162,CORO2B,CORO2B      ,Body,0.006,0.002,3.96E-04,+++-+++++
11,556482,cg18169245,C11orf35,LMNTD2      ,Body,0.003,0.001,3.96E-04,++?++++++
7,26897597,cg12252069,SKAP2,SKAP2      ,Body,0.009,0.002,3.96E-04,+++++++++
6,26018074,cg23829024,HIST1H1A,HIST1H1A     ,TSS200,0.002,0.001,3.96E-04,+++-++-++
5,41924792,cg26810146,FBXO4,FBXO4      ,TSS1500;TSS1500,0.009,0.002,3.97E-04,++?++++++
6,27483069,cg17553149,,ZNF184      ,,0.011,0.003,3.97E-04,-++-+++++
1,10458856,cg19368966,PGD,PGD       ,TSS1500,-0.001,0,3.97E-04,-----+--+
3,6906061,cg03490157,GRM7,GRM7       ,Body;Body,0.009,0.003,3.97E-04,-+++++-++
1,147782116,cg23206461,,,,0.01,0.003,3.98E-04,+++++-+++
3,127725522,cg17324149,,KBTBD12     ,,0.006,0.002,3.98E-04,-++++++++
2,240568824,cg23631133,,LOC150935    ,,-0.006,0.002,3.99E-04,---------
19,2460037,cg16041412,,LMNB2      ,,0.015,0.004,3.99E-04,++++++++-
7,51102023,cg12592691,COBL,COBL       ,Body,-0.003,0.001,3.99E-04,---------
3,128429005,cg11083235,,RAB7A      ,,-0.007,0.002,3.99E-04,+-------+
2,242813189,cg03270969,C2orf85,RTP5       ,Body,-0.005,0.002,3.99E-04,----+---+
3,50649994,cg08996521,CISH,CISH       ,TSS1500;TSS1500,-0.005,0.001,4.00E-04,-+---+---
16,54315551,cg02571857,,IRX3       ,,0.005,0.001,4.00E-04,++-++++++
10,123913451,cg26186546,TACC2,TACC2      ,Body;Body,-0.004,0.001,4.00E-04,-----+---
16,85470485,cg09556515,,GSE1       ,,-0.005,0.001,4.00E-04,-----+---
15,69613382,cg08437576,PAQR5,PAQR5      ,5'UTR;5'UTR,0.011,0.003,4.01E-04,+?++++?+?
1,25290947,cg14182690,RUNX3,RUNX3      ,Body,-0.006,0.002,4.01E-04,----+----
21,45762070,cg18703541,,C21orf2     ,,0.007,0.002,4.01E-04,-+?++++++
22,39852666,cg21461856,MGAT3,MGAT3      ,TSS1500,0.004,0.001,4.01E-04,+-+-++-++
2,145090856,cg08027199,GTDC1,GTDC1      ,TSS1500,0.003,0.001,4.02E-04,+++++++++
6,106546754,cg08742502,PRDM1,PRDM1      ,Body;TSS200,0.012,0.003,4.02E-04,+++-+++++
6,74101601,cg27359629,,DDX43      ,,-0.004,0.001,4.02E-04,-----+--+
1,185126431,cg01979511,C1orf25;C1orf26,SWT1       ,TSS1500;5'UTR;5'UTR;1stExon,-0.001,0,4.02E-04,---+++--+
18,28682408,cg13870990,DSC2,DSC2       ,TSS200;TSS200,-0.003,0.001,4.03E-04,-+---+---
8,142986670,cg26542567,,LINC00051    ,,0.006,0.002,4.03E-04,+++-++++-
14,75517639,cg09304272,MLH3,MLH3       ,5'UTR;5'UTR,0.002,0.001,4.04E-04,++-+++-++
15,43503034,cg15882566,EPB42,EPB42      ,Body;Body,0.004,0.001,4.04E-04,-++++-++-
2,45030384,cg25149238,,CAMKMT      ,,0.005,0.002,4.04E-04,+++++++++
2,235200560,cg27026202,,ARL4C      ,,-0.007,0.002,4.04E-04,------+-+
5,180622179,cg12717963,TRIM7,TRIM7      ,Body;Body;Body;Body;Body,0.005,0.001,4.04E-04,+++++++++
10,85956635,cg27125177,PCDH21,CDHR1      ,Body,-0.004,0.001,4.04E-04,-+-+-----
19,17487776,cg18102633,PLVAP,PLVAP      ,1stExon,0.002,0.001,4.04E-04,+-++++-++
3,56165731,cg00454650,ERC2,ERC2       ,Body,-0.008,0.002,4.04E-04,+-??-----
4,74810310,cg22725685,,PF4       ,,0.003,0.001,4.05E-04,+++++-+++
8,1872335,cg01607321,ARHGEF10,ARHGEF10     ,Body,0.009,0.003,4.05E-04,+-+++++++
2,239335373,cg18131467,ASB1,ASB1       ,TSS1500,-0.001,0,4.05E-04,---+--+-+
20,60912673,cg26236922,LAMA5,LAMA5      ,Body,-0.005,0.001,4.05E-04,--+-----+
11,60610004,cg03700121,CCDC86,CCDC86      ,1stExon,-0.003,0.001,4.05E-04,--?--+--+
1,55267293,cg02935904,TTC22,TTC22      ,TSS1500;TSS1500,-0.005,0.002,4.05E-04,--------+
11,18388147,cg18905668,GTF2H1,GTF2H1      ,3'UTR;3'UTR,0.003,0.001,4.05E-04,++?++++++
4,1353499,cg08553274,KIAA1530,UVSSA      ,Body,-0.006,0.002,4.06E-04,---------
1,1261797,cg05598010,GLTPD1,CPTP       ,5'UTR,-0.008,0.002,4.06E-04,---------
13,31245234,cg26756921,,USPL1      ,,0.005,0.001,4.06E-04,++-++++++
6,31940606,cg13116438,STK19;DOM3Z,STK19      ,Body;Body;TSS1500;Body,-0.002,0,4.06E-04,--------+
18,5891602,cg12899381,TMEM200C,TMEM200C     ,1stExon,0.008,0.002,4.06E-04,+++++++++
13,114270609,cg01815801,TFDP1,TFDP1      ,Body;Body,0.006,0.002,4.07E-04,++++++++-
1,201619787,cg08883485,NAV1,NAV1       ,Body,-0.005,0.001,4.07E-04,--------+
3,184056553,cg22921096,FAM131A,FAM131A     ,5'UTR;Body,0.005,0.002,4.07E-04,+-+++++++
5,131831244,cg00559249,,IRF1       ,,-0.004,0.001,4.07E-04,-----+---
11,2951981,cg16549085,PHLDA2,PHLDA2      ,TSS1500,0.004,0.001,4.08E-04,++++++-++
16,85262920,cg00950706,,LOC400548    ,,-0.002,0.001,4.08E-04,-----+---
20,4836338,cg08435683,SLC23A2,SLC23A1     ,3'UTR;3'UTR,0.008,0.002,4.08E-04,++++++++-
10,135099129,cg17109704,TUBGCP2,TUBGCP2     ,Body,0.004,0.001,4.08E-04,-+++++-++
3,50350760,cg10354474,HYAL1,HYAL1      ,TSS1500,0.003,0.001,4.09E-04,+-+++-++-
15,31744207,cg20511277,,OTUD7A      ,,0.007,0.002,4.09E-04,+-+-++-++
1,1376740,cg08426733,VWA1,VWA1       ,3'UTR;3'UTR,-0.003,0.001,4.09E-04,-+-----+-
19,18060024,cg09270346,,KCNN1      ,,-0.003,0.001,4.09E-04,--------+
6,35150136,cg20660989,,SCUBE3      ,,0.006,0.002,4.09E-04,++-++++++
14,20611696,cg23234847,OR4N5,OR4N5      ,TSS200,0.012,0.004,4.09E-04,+++-+++++
7,40905203,cg27106204,,SUGCT      ,,-0.007,0.002,4.09E-04,------+--
16,10971191,cg01351032,CIITA,CIITA      ,1stExon,0.004,0.001,4.09E-04,++-++++++
7,26897253,cg20747577,SKAP2,SKAP2      ,Body,0.003,0.001,4.09E-04,++-++++++
2,220040571,cg04955914,C2orf24,CNPPD1      ,Body,-0.004,0.001,4.10E-04,++-------
9,71650237,cg07158339,FXN,FXN       ,TSS1500;TSS1500;TSS1500,0.008,0.002,4.10E-04,+-++++-++
9,77501535,cg14633950,TRPM6,TRPM6      ,Body,0.005,0.001,4.10E-04,+++++++++
1,42126724,cg24351658,HIVEP3,HIVEP3      ,5'UTR;5'UTR,-0.005,0.002,4.10E-04,--------+
4,2043973,cg05628394,C4orf48,C4orf48     ,Body;5'UTR,-0.001,0,4.10E-04,---------
1,82040009,cg06822690,,LPHN2      ,,0.005,0.001,4.10E-04,+-+++++++
5,37833969,cg07309340,GDNF,GDNF       ,Body;Body;Body,0.006,0.002,4.10E-04,+-++-++++
11,57126602,cg12968258,P2RX3,P2RX3      ,Body,0.003,0.001,4.10E-04,++++++-+-
3,32495794,cg25865542,CMTM7,CMTM7      ,3'UTR;3'UTR,-0.004,0.001,4.11E-04,------+--
16,30671698,cg05468716,,PRR14      ,,-0.001,0,4.11E-04,-+-------
5,149969579,cg23058998,,SYNPO      ,,-0.004,0.001,4.11E-04,---------
8,25045589,cg24805985,DOCK5,DOCK5      ,Body,-0.004,0.001,4.11E-04,---------
6,31589593,cg02054431,SNORA38;BAT2,PRRC2A      ,TSS1500;5'UTR,-0.006,0.002,4.11E-04,+--------
7,29233468,cg21472642,CHN2,CHN2       ,TSS1500,0.005,0.001,4.12E-04,+++-++-++
11,17409509,cg01153817,KCNJ11,KCNJ11      ,1stExon;5'UTR,0.004,0.001,4.13E-04,+++++--++
8,143129058,cg13630049,,LINC00051    ,,0.002,0.001,4.13E-04,++++++-++
5,149325433,cg06506054,PDE6A,PDE6A      ,TSS1500,0.003,0.001,4.13E-04,+++++++++
11,86510998,cg23771366,PRSS23,PRSS23      ,TSS1500,0.004,0.001,4.13E-04,+++-++-++
5,87988624,cg01197411,,,,-0.003,0.001,4.13E-04,+--------
16,34430837,cg01444849,,UBE2MP1     ,,-0.006,0.002,4.14E-04,---+--+--
12,51632371,cg04847419,DAZAP2,DAZAP2      ,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,-0.001,0,4.14E-04,--------+
8,128228107,cg12616923,,POU5F1B     ,,0.007,0.002,4.14E-04,++++-+++-
11,60869601,cg16001613,CD5,CD5       ,TSS1500,-0.005,0.001,4.14E-04,---------
12,22777465,cg02723291,ETNK1,ETNK1      ,TSS1500;TSS1500,0.004,0.001,4.15E-04,++++++-++
1,1342230,cg21439539,MRPL20,MRPL20      ,Body,0,0,4.15E-04,---+----+
10,72435301,cg23169883,ADAMTS14,ADAMTS14     ,Body;Body,0.012,0.003,4.15E-04,++++++++-
10,71811927,cg18009000,H2AFY2,H2AFY2      ,TSS1500,0.009,0.003,4.15E-04,++++++-++
2,65935124,cg04749740,,SPRED2      ,,0.008,0.002,4.15E-04,+++++-+++
17,46619555,cg20401567,,HOXB2      ,,-0.007,0.002,4.15E-04,---------
21,43373136,cg04723534,C2CD2,C2CD2      ,Body,-0.008,0.002,4.15E-04,+----+---
8,144965151,cg04927345,,EPPK1      ,,0.005,0.001,4.15E-04,++++++-++
20,49545230,cg08473725,ADNP,ADNP       ,5'UTR;5'UTR,0.005,0.002,4.15E-04,+++++++++
15,40674883,cg14916983,C15orf23,KNSTRN      ,TSS200;TSS200;TSS200,0.006,0.002,4.16E-04,-++-+++++
17,43222121,cg00348467,,ACBD4      ,,0.008,0.002,4.16E-04,-+?+++-++
11,10347429,cg24251218,,ADM       ,,-0.003,0.001,4.16E-04,+----+---
2,214098074,cg24206827,,SPAG16      ,,-0.002,0.001,4.16E-04,------+--
1,32741454,cg10837783,LCK,LCK       ,Body;Body,0.004,0.001,4.16E-04,+-++-++++
2,26521372,cg17696006,,HADHB      ,,0.009,0.003,4.16E-04,+-+++++++
9,88952877,cg14134003,ZCCHC6,ZCCHC6      ,Body,0.01,0.003,4.17E-04,++++++?-+
11,122791447,cg26239495,C11orf63,C11orf63     ,Body,-0.002,0.001,4.17E-04,+--------
12,54144380,cg23261715,,CALCOCO1     ,,0.005,0.001,4.17E-04,-+-++++++
1,65775467,cg02457097,DNAJC6,DNAJC6      ,Body,-0.001,0,4.17E-04,-+----+--
6,32847704,cg00892368,PPP1R2P1,LOC100294145   ,Body,0.008,0.002,4.17E-04,+++++++++
11,111171330,cg09538401,C11orf93;C11orf92,COLCA2      ,5'UTR;TSS1500,-0.003,0.001,4.17E-04,+--------
5,95259165,cg08392484,ELL2,ELL2       ,Body,0.002,0.001,4.19E-04,+++-+++++
6,29599178,cg20139800,GABBR1,GABBR1      ,Body;Body,-0.007,0.002,4.19E-04,--------+
5,1552688,cg18634758,,SDHAP3      ,,0.002,0.001,4.19E-04,--++++-++
1,12004662,cg21147709,PLOD1,PLOD1      ,Body,-0.007,0.002,4.19E-04,-----+---
10,102760970,cg03271893,LZTS2,LZTS2      ,5'UTR,-0.005,0.001,4.20E-04,---------
12,56325149,cg22876908,DGKA,DGKA       ,TSS1500;TSS1500;TSS1500;5'UTR,-0.005,0.001,4.20E-04,--------+
17,75471491,cg10997810,09-Sep,09-Sep,Body;5'UTR;1stExon;5'UTR;Body;Body;Body;Body,-0.005,0.001,4.20E-04,--+------
11,126301004,cg09737499,KIRREL3,KIRREL3     ,Body;3'UTR,-0.006,0.002,4.21E-04,---------
5,185589,cg23462129,PLEKHG4B,PLEKHG4B     ,3'UTR,-0.005,0.001,4.21E-04,+--------
8,144639363,cg22995724,GSDMD,GSDMD      ,TSS1500;5'UTR,0.008,0.002,4.21E-04,++++-+-++
14,20978830,cg23260578,RNASE10,RNASE10     ,1stExon,0.008,0.002,4.21E-04,++++++++-
10,104387263,cg09119776,SUFU,SUFU       ,Body,-0.007,0.002,4.21E-04,-----+---
11,1767793,cg10900641,HCCA2;LOC402778,,Body;Body,0.003,0.001,4.21E-04,++++++-++
6,57235407,cg08108224,PRIM2,PRIM2      ,Body,0.006,0.002,4.22E-04,+++-++?++
20,45985741,cg12303084,ZMYND8,ZMYND8      ,TSS1500;TSS1500;TSS1500,-0.002,0.001,4.22E-04,-----+---
8,843943,cg17370195,,ERICH1      ,,-0.006,0.002,4.23E-04,---++-+--
5,162865006,cg06625838,CCNG1,CCNG1      ,5'UTR;5'UTR,-0.001,0,4.24E-04,---------
2,25534203,cg10142668,DNMT3A,DNMT3A      ,Body;Body;Body,-0.006,0.002,4.25E-04,---------
19,14223997,cg26670249,PRKACA,PRKACA      ,Body;Body,-0.003,0.001,4.25E-04,-----+--+
1,37355452,cg08106961,GRIK3,GRIK3      ,Body,-0.004,0.001,4.25E-04,---------
3,112486072,cg17086773,,CD200R1L     ,,0.009,0.003,4.26E-04,+++++++-+
2,128492119,cg24269617,WDR33,WDR33      ,Body,0.004,0.001,4.26E-04,+?++++-+-
16,619677,cg06486124,PIGQ,NHLRC4      ,TSS1500;TSS1500,-0.001,0,4.26E-04,-----+---
7,27211741,cg07483304,HOXA10,HOXA10      ,Body;Body,-0.004,0.001,4.27E-04,--------+
8,39836064,cg05893709,IDO2,IDO2       ,Body,0.007,0.002,4.28E-04,++++++-++
17,79202505,cg17861836,C17orf56,ENTHD2      ,3'UTR,-0.006,0.002,4.28E-04,-----++-+
12,107965627,cg19313353,BTBD11,BTBD11      ,Body,-0.008,0.002,4.28E-04,---------
5,140743575,cg07520649,PCDHGA5;PCDHGA4;PCDHGA2;PCDHGB2;PCDHGA1;PCDHGB1;PCDHGA3,PCDHGA1     ,TSS1500;Body;Body;Body;Body;Body;Body;TSS1500,0.005,0.002,4.28E-04,++++-+-++
1,150230345,cg00102955,CA14,CA14       ,1stExon;5'UTR,-0.002,0.001,4.29E-04,---+----+
16,22175965,cg16542646,,VWA3A      ,,-0.003,0.001,4.29E-04,---------
1,3664612,cg11746651,KIAA0495,TP73-AS1     ,TSS1500,0.002,0.001,4.29E-04,+++++--++
10,76803361,cg08995871,DUPD1,DUPD1      ,Body,0.005,0.002,4.29E-04,+++++++++
17,7792063,cg04674060,CHD3,CHD3       ,Body;TSS200;TSS200,-0.008,0.002,4.29E-04,---------
5,175816524,cg07355446,NOP16;HIGD2A,HIGD2A      ,TSS1500;3'UTR,-0.002,0.001,4.29E-04,---------
16,84224732,cg08204027,ADAD2,ADAD2      ,5'UTR;1stExon;1stExon;5'UTR,0.005,0.002,4.29E-04,++++-++++
5,176445507,cg16309518,,ZNF346      ,,0.003,0.001,4.29E-04,++++---+-
7,130606499,cg10540679,,,,0.003,0.001,4.30E-04,++++++-++
1,101704898,cg17972213,S1PR1,S1PR1      ,Body,-0.01,0.003,4.30E-04,----+----
21,47704251,cg14211055,MCM3AP,MCM3AP      ,1stExon,0.001,0,4.30E-04,+++++-+++
4,103683115,cg08247921,MANBA,MANBA      ,TSS1500,0.003,0.001,4.30E-04,-+++++-++
19,17958905,cg08130179,JAK3,JAK3       ,TSS200,-0.001,0,4.30E-04,-+---+---
17,53800484,cg18040354,TMEM100,TMEM100     ,TSS1500;5'UTR,0.01,0.003,4.30E-04,++++++-++
20,61584850,cg15677087,SLC17A9,SLC17A9     ,Body,-0.009,0.003,4.31E-04,------+--
2,236962206,cg20882773,AGAP1,AGAP1      ,Body;Body,-0.004,0.001,4.31E-04,--------+
6,29855325,cg03861427,HLA-H,HLA-H      ,TSS200,0.005,0.002,4.31E-04,++??-++++
2,172290755,cg09511246,DCAF17;METTL8,METTL8      ,TSS200;5'UTR;TSS200;TSS200,-0.001,0,4.31E-04,+--------
17,48666821,cg20271361,CACNA1G,CACNA1G     ,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,-0.007,0.002,4.31E-04,---------
16,22104151,cg00343305,VWA3A,VWA3A      ,Body,0.003,0.001,4.31E-04,++++-+-+-
14,100791876,cg09385936,C14orf68,SLC25A47     ,Body,0.006,0.002,4.31E-04,++++++++-
5,139013317,cg08234504,,UBE2D2      ,,-0.003,0.001,4.32E-04,--------+
13,79328636,cg07994859,,RNF219      ,,0.004,0.001,4.32E-04,+-+++--++
1,155252776,cg10802414,HCN3,HCN3       ,Body,-0.004,0.001,4.33E-04,-----+---
15,78385733,cg04061411,SH2D7,SH2D7      ,Body,-0.007,0.002,4.33E-04,--?------
11,7098380,cg09584051,,NLRP14      ,,0.007,0.002,4.33E-04,-++++++++
14,24013847,cg11135937,,ZFHX2      ,,0.003,0.001,4.33E-04,++++++++-
17,46622607,cg06942183,HOXB2,HOXB2      ,TSS1500,-0.007,0.002,4.33E-04,-----+---
4,23457637,cg24563691,,PPARGC1A     ,,0.009,0.003,4.34E-04,+?++++?++
7,2566263,cg22512208,LFNG,LFNG       ,Body;Body;Body;Body,-0.003,0.001,4.34E-04,--+------
8,28205705,cg21330896,ZNF395,ZNF395      ,3'UTR,-0.008,0.002,4.35E-04,----+++-+
14,102172004,cg22273182,,LINC00239    ,,0.004,0.001,4.35E-04,+-+-++-++
4,2396234,cg23317787,ZFYVE28,ZFYVE28     ,Body,-0.004,0.001,4.35E-04,---------
5,133984937,cg08316941,SEC24A,SEC24A      ,Body,-0.001,0,4.35E-04,---------
11,2036573,cg02462416,,H19       ,,-0.009,0.002,4.35E-04,---------
17,48581622,cg03661110,,MYCBPAP     ,,0.005,0.001,4.35E-04,+++-+-+++
15,70897224,cg07229001,,UACA       ,,0.006,0.002,4.35E-04,+++++++++
11,30355114,cg27189784,C11orf46,ARL14EP     ,Body,-0.008,0.002,4.36E-04,--??--+--
19,7799575,cg24418790,,CLEC4G      ,,0.006,0.002,4.36E-04,+++++++-+
15,64723065,cg05265081,TRIP4,TRIP4      ,Body,0.01,0.003,4.37E-04,++++++-+-
15,23812334,cg07760796,MKRN3,MKRN3      ,1stExon,-0.003,0.001,4.37E-04,+----++--
2,122443998,cg12462771,,,,0.004,0.001,4.37E-04,+-++++-++
8,81983499,cg05525416,PAG1,PAG1       ,5'UTR,-0.004,0.001,4.37E-04,---------
20,25655097,cg03227940,ZNF337,ZNF337      ,3'UTR,0.002,0.001,4.37E-04,++?+++++-
6,30121843,cg05762309,TRIM10,TRIM10      ,Body;Body,0.002,0.001,4.37E-04,+++++-++-
3,10149882,cg13047869,C3orf24,FANCD2OS     ,1stExon;1stExon;5'UTR;5'UTR,0.002,0.001,4.37E-04,++++++-++
2,235403141,cg05204104,ARL4C,ARL4C      ,3'UTR;1stExon,0.013,0.004,4.38E-04,+-+-+++++
19,12201646,cg07477296,ZNF788,ZNF788      ,TSS1500,0.007,0.002,4.38E-04,+++-++-++
19,11307090,cg21201109,KANK2,KANK2      ,5'UTR,0.004,0.001,4.38E-04,+++-+++++
7,91897276,cg10095247,ANKIB1,ANKIB1      ,5'UTR,0.006,0.002,4.39E-04,++++++++-
15,22992596,cg06099188,CYFIP1,CYFIP1      ,Body;Body,-0.005,0.002,4.39E-04,---------
10,115086103,cg23683800,,TCF7L2      ,,0.003,0.001,4.40E-04,++-++++-+
19,11517079,cg24937727,RGL3,RGL3       ,Body;Body,0.01,0.003,4.40E-04,-++++++++
6,34855797,cg00215801,TAF11;ANKS1A,TAF11      ,1stExon;5'UTR;TSS1500,-0.002,0,4.40E-04,-----++-+
10,27609310,cg01088863,,,,0.01,0.003,4.40E-04,++??++?++
7,110738315,cg11556164,LRRN3;IMMP2L,IMMP2L      ,5'UTR;Body;5'UTR;5'UTR,-0.007,0.002,4.40E-04,-?+---?--
5,40796738,cg13345558,PRKAA1,PRKAA1      ,Body;Body,0.01,0.003,4.40E-04,++++++++-
4,1556595,cg01586851,,FAM53A      ,,-0.004,0.001,4.41E-04,---------
5,77252276,cg00589737,,AP3B1      ,,0.005,0.002,4.41E-04,+-+++++++
12,121570571,cg15965241,P2RX7,P2RX7      ,TSS200,-0.005,0.001,4.41E-04,--??-----
9,130888547,cg01311102,PTGES2,PTGES2      ,Body;Body;Body,-0.004,0.001,4.42E-04,+--------
12,102795843,cg23046919,IGF1,IGF1       ,3'UTR;3'UTR;3'UTR,-0.008,0.002,4.42E-04,---------
18,76670370,cg24923279,,SALL3      ,,-0.003,0.001,4.43E-04,+--------
4,4661952,cg27661394,,,,0.004,0.001,4.43E-04,+++++++++
12,49731991,cg14502850,C1QL4,C1QL4      ,TSS1500,0.008,0.002,4.43E-04,+-+++++++
15,66678782,cg14155397,MAP2K1,MAP2K1      ,TSS1500,-0.006,0.002,4.43E-04,-+------+
17,37322028,cg00900933,ARL5C,ARL5C      ,1stExon;5'UTR,0.005,0.001,4.44E-04,+++++++++
5,142153529,cg17568809,ARHGAP26,ARHGAP26     ,Body;Body,0.007,0.002,4.44E-04,+++++++++
16,4740694,cg09005651,MGRN1,MGRN1      ,3'UTR;3'UTR;3'UTR;3'UTR,0.004,0.001,4.44E-04,++++++++-
5,87952153,cg00405803,LOC645323,,Body,0.007,0.002,4.44E-04,+?++++-+-
16,67969367,cg21445230,PSMB10,PSMB10      ,Body,-0.003,0.001,4.45E-04,--------+
5,429559,cg26850624,AHRR,AHRR       ,Body,0.011,0.003,4.45E-04,+++-++-+-
10,77165750,cg10642548,C10orf41,ZNF503-AS2    ,Body;Body,-0.005,0.001,4.45E-04,---------
11,66839187,cg18043888,RHOD,RHOD       ,3'UTR,0.004,0.001,4.45E-04,+++-++-++
10,697840,cg19765175,DIP2C;C10orf108,PRR26      ,Body;Body;Body,-0.003,0.001,4.45E-04,-----+---
4,141642191,cg18179039,TBC1D9,TBC1D9      ,Body,0.01,0.003,4.46E-04,-++++++++
17,37028105,cg09564253,LASP1,LASP1      ,Body,-0.004,0.001,4.46E-04,-+--+---+
1,228396098,cg19109050,OBSCN,OBSCN      ,5'UTR;5'UTR,0.006,0.002,4.46E-04,-++++++++
1,10535585,cg15031780,PEX14,PEX14      ,Body,-0.001,0,4.47E-04,-+------+
5,176739547,cg25101061,MXD3,MXD3       ,TSS1500;TSS1500,-0.002,0.001,4.47E-04,-+-------
17,1666607,cg00777079,SERPINF1,SERPINF1     ,5'UTR,-0.008,0.002,4.47E-04,-----+---
8,8182003,cg27000590,PRAGMIN,SGK223      ,Body,0.004,0.001,4.47E-04,++++++++-
6,106551827,cg08302325,PRDM1,PRDM1      ,Body;Body,-0.004,0.001,4.49E-04,---------
20,62367884,cg21201401,LIME1,LIME1      ,TSS200,-0.012,0.004,4.49E-04,--------+
11,85659096,cg13536080,,PICALM      ,,0.006,0.002,4.49E-04,++++++++-
17,1961510,cg02376827,HIC1,HIC1       ,Body;Body,0.004,0.001,4.50E-04,++++++-+-
19,6477198,cg06528223,DENND1C,DENND1C     ,Body,0.003,0.001,4.50E-04,--++-++++
6,31543655,cg26729380,TNF,TNF       ,1stExon,-0.007,0.002,4.50E-04,---+-+---
1,15271952,cg21413173,KIAA1026,KAZN       ,Body;5'UTR;TSS1500;Body;Body,0.007,0.002,4.51E-04,-++++++++
17,46684750,cg14698646,HOXB7,HOXB7      ,3'UTR,0.003,0.001,4.51E-04,-++-+++++
1,116460862,cg25010752,,SLC22A15     ,,0.012,0.003,4.52E-04,++++++++-
11,76381044,cg13985437,LRRC32,LRRC32      ,5'UTR;TSS200,-0.002,0.001,4.52E-04,-----++--
4,109387521,cg27190654,,,,-0.007,0.002,4.52E-04,----+----
5,75699748,cg05060672,IQGAP2,IQGAP2      ,Body,-0.001,0,4.53E-04,-----+-+-
17,7311314,cg00061695,NLGN2,NLGN2      ,TSS200,0.004,0.001,4.53E-04,++-++++++
